0.00445, 0.0104
0.0198, 0.127
0.0374, 0.127
0.0609, 0.127
0.0844, 0.127
0.108, 0.127
0.123, 0.127
0.132, 0.278
0.147, 0.278
0.171, 0.278
0.194, 0.278
0.217, 0.278
0.233, 0.278
0.243, 0.424
0.259, 0.424
0.282, 0.424
0.306, 0.424
0.329, 0.424
0.346, 0.424
0.356, 0.570
0.371, 0.570
0.394, 0.570
0.418, 0.570
0.441, 0.570
0.459, 0.570
0.471, 0.716
0.487, 0.716
0.511, 0.716
0.534, 0.716
0.558, 0.716
0.572, 0.716
0.581, 0.867
0.597, 0.867
0.621, 0.867
0.644, 0.867
0.664, 0.867
0.676, 0.867
0.677, -0.403
0.701, -0.399
0.724, -0.394
0.748, -0.364
0.772, -0.307
0.794, -0.253
0.810, -0.198
0.821, -0.151
0.830, -0.113
0.842, -0.0596
0.854, -0.0164
0.865, 0.0322
0.872, 0.0774
0.879, 0.109
0.886, 0.160
0.894, 0.195
0.901, 0.247
0.909, 0.306
0.915, 0.343
0.922, 0.395
0.929, 0.442
0.936, 0.488
0.941, 0.535
0.946, 0.573
0.951, 0.614
0.956, 0.652
0.961, 0.701
0.967, 0.759
0.971, 0.803
0.978, 0.885
