0.000407, 0.000108
0.00337, 0.101
0.0203, 0.104
0.0390, 0.105
0.0627, 0.105
0.0864, 0.105
0.105, 0.105
0.117, 0.222
0.132, 0.222
0.156, 0.222
0.180, 0.222
0.203, 0.222
0.221, 0.222
0.232, 0.344
0.247, 0.344
0.271, 0.344
0.294, 0.344
0.318, 0.344
0.335, 0.344
0.345, 0.465
0.362, 0.465
0.385, 0.465
0.409, 0.465
0.433, 0.465
0.448, 0.465
0.457, 0.578
0.474, 0.578
0.497, 0.578
0.521, 0.578
0.545, 0.578
0.561, 0.578
0.571, 0.699
0.586, 0.699
0.610, 0.699
0.633, 0.699
0.656, 0.699
0.672, 0.699
0.681, -0.325
0.705, -0.325
0.728, -0.325
0.752, -0.325
0.776, -0.325
0.799, -0.325
0.823, -0.325
0.847, -0.325
0.870, -0.325
0.894, -0.325
0.918, -0.325
0.941, -0.325
0.965, -0.325
0.983, -0.325
